Y,X,name,state,population
33.544124,-112.068832,Phoenix,AZ,983403
38.566454,-121.46627,Sacramento,CA,369365
39.151708,-119.726785,Carson City,NV,40443
44.923198,-123.02159,Salem,OR,107786
47.04088,-122.892473,Olympia,WA,33840
40.777089,-111.928412,Salt Lake City,UT,159936
43.606083,-116.226878,Boise,ID,125738
46.596902,-112.019449,Helena,MT,24346
35.67763,-105.954486,Santa Fe,NM,55993
39.762974,-104.874057,Denver,CO,467610
41.146055,-104.792418,Cheyenne,WY,50008
46.804885,-100.766879,Bismarck,ND,49256
30.304832,-97.751118,Austin,TX,465577
30.451254,-91.122909,Baton Rouge,LA,219531
32.319717,-90.20889,Jackson,MS,196594
32.352929,-86.283332,Montgomery,AL,187106
30.457057,-84.281239,Tallahassee,FL,124773
35.467086,-97.513703,Oklahoma City,OK,444730
40.816673,-96.687064,Lincoln,NE,191972
34.723185,-92.355358,Little Rock,AR,175781
39.037792,-95.691528,Topeka,KS,119883
41.577269,-93.619161,Des Moines,IA,193187
44.374745,-100.320389,Pierre,SD,12906
44.949202,-93.105553,Saint Paul,MN,272235
38.572222,-92.19244,Jefferson City,MO,35494
39.789435,-89.649323,Springfield,IL,105227
36.172662,-86.792119,Nashville,TN,488518
33.763174,-84.42182,Atlanta,GA,394017
39.775556,-86.145143,Indianapolis,IN,731321
38.1918,-84.86528,Frankfort,KY,25968
43.079577,-89.385018,Madison,WI,191262
42.710385,-84.554881,Lansing,MI,127321
34.035245,-80.890176,Columbia,SC,98052
39.988675,-82.986294,Columbus,OH,632958
38.35131,-81.63102,Charleston,WV,57287
35.821907,-78.659617,Raleigh,NC,207951
37.529292,-77.476216,Richmond,VA,203056
38.970684,-76.504685,Annapolis,MD,33187
39.158659,-75.51704,Dover,DE,27529
40.276356,-76.87772,Harrisburg,PA,52376
40.223934,-74.763201,Trenton,NJ,88675
41.765811,-72.684865,Hartford,CT,139739
41.823838,-71.422131,Providence,RI,160728
42.666873,-73.799814,Albany,NY,101082
43.231041,-71.559666,Concord,NH,36006
44.265784,-72.57217,Montpelier,VT,8247
42.315041,-71.091375,Boston,MA,574283
44.334375,-69.735036,Augusta,ME,21325
58.305801,-134.433304,Juneau,AK,32330
21.315603,-157.858093,Honolulu,HI,347397
